WORD,TIME,PROCESSORS,ALPHA
abc,66399119,1,0.0
abc,15379678,8,12.18568341030463
abc,83868733,1,0.0
abc,19787469,8,12.678148737844545
abc,73447135,1,0.0
abc,35851637,8,41.50039558578912
abc,90388339,1,0.0
abc,21650214,8,13.088504543869158
abc,84746134,1,0.0
abc,40032602,8,39.70087245682331
abc,82129611,1,0.0
abc,44991412,8,48.321128660891866
abc,67389932,1,0.0
abc,36008445,8,46.78054197854277
zoom,482609520,1,0.0
zoom,97179991,8,8.72726872737316
zoom,438478734,1,0.0
zoom,111339842,8,14.734058817873835
zigzag,46661198896,1,0.0
zigzag,29989478483,8,59.16651263037388
zigzag,46097313826,1,0.0
zigzag,28972701746,8,57.54419594131057
zigzag,45185399990,1,0.0
zigzag,29334450566,8,59.90879626097182
zigzag,46010433267,1,0.0
zigzag,29775890802,8,59.67487915300691
zigzag,45975875851,1,0.0
zigzag,28928497661,4,57.62404180277338
zigzag,48487543898,1,0.0
zigzag,32678661580,4,62.738277451790005
zigzag,49877566470,1,0.0
zigzag,29530658707,4,53.378621858012224
zigzag,75603290801,1,0.0
zigzag,33744895868,4,36.72475743994793
zigzag,66886046189,1,0.0
zigzag,35034038488,2,45.5756520387428
zigzag,67171626692,1,0.0
zigzag,36051330871,2,47.051971020536584
zigzag,67658417177,1,0.0
zigzag,32103069445,4,39.941422194400396
zigzag,66503713820,1,0.0
zigzag,69122227125,1,0.0
zigzag,69160543945,1,0.0
zigzag,40625244057,20,52.846277023925694
zigzag,64438325207,1,0.0
zigzag,42049816387,20,59.465229934577444
zoom,340737877,1,0.0
zoom,103586550,8,20.457892622251673
zoom,334526054,1,0.0
zoom,98557722,8,19.385025324728307
zoom,346412539,1,0.0
zoom,99249869,8,18.458025892318272
zoom,382085593,1,0.0
zoom,369725737,1,0.0
zoom,123038060,8,23.746511129603697
zoom,361351390,1,0.0
zoom,136752312,8,28.965359571073307
null,125788787,1,0.0
null,28686988,4,-2.925760253442411
